2021-07-26 11:08:24.785 [main] INFO  com.example.crmgo.CrmgoApplication - Starting CrmgoApplication on DESKTOP-DGCHB3I with PID 15384 (D:\Documents\java_practice_demo\CRMGO\target\classes started by nantian in D:\Documents\java_practice_demo\CRMGO)
2021-07-26 11:08:24.789 [main] INFO  com.example.crmgo.CrmgoApplication - The following profiles are active: dev
2021-07-26 11:08:25.603 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2021-07-26 11:08:25.623 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 JDBC repository interfaces.
2021-07-26 11:08:26.100 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8763 (http)
2021-07-26 11:08:26.110 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8763"]
2021-07-26 11:08:26.110 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-26 11:08:26.110 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-07-26 11:08:26.215 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-26 11:08:26.215 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1381 ms
2021-07-26 11:08:26.962 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-07-26 11:08:27.134 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-07-26 11:08:27.271 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-07-26 11:08:27.356 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8763"]
2021-07-26 11:08:27.391 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8763 (http) with context path ''
2021-07-26 11:08:27.642 [main] INFO  com.example.crmgo.CrmgoApplication - Started CrmgoApplication in 3.286 seconds (JVM running for 4.45)
